formação,início,final,guitarrista,tecladista,vocalista,baixista,baterista
1,1968,1969,Ritchie Blackmore,Jon Lord,Rod Evans,Nick Simper,Ian Paice
2,1969,1973,Ritchie Blackmore,Jon Lord,Ian Gillan,Roger Glover,Ian Paice
3,1973,1975,Ritchie Blackmore,Jon Lord,David Coverdale,Glenn Hughes,Ian Paice
4,1975,1976,Tommy Bolin,Jon Lord,David Coverdale,Glenn Hughes,Ian Paice
5,1984,1988,Ritchie Blackmore,Jon Lord,Ian Gillan,Roger Glover,Ian Paice
6,1989,1992,Ritchie Blackmore,Jon Lord,Joe Lynn Turner,Roger Glover,Ian Paice
7,1993,1993,Ritchie Blackmore,Jon Lord,Ian Gillan,Roger Glover,Ian Paice
8,1993,1994,Joe Satriani,Jon Lord,Ian Gillan,Roger Glover,Ian Paice
9,1994,2002,Steve Morse,Jon Lord,Ian Gillan,Roger Glover,Ian Paice
10,2002,,Steve Morse,Don Airey,Ian Gillan,Roger Glover,Ian Paice
